joined_StudyID_Exp,NumberOfAnimals,Time,Average,Vehicle.control.,Reconciled
2ea6da77-9ff3-41a6-9ad5-a46de336416b A,6,1,13.5,,
2ea6da77-9ff3-41a6-9ad5-a46de336416b A,6,1,13.8,1% alcohol,
2ea6da77-9ff3-41a6-9ad5-a46de336416b A,6,3,10.3,,
2ea6da77-9ff3-41a6-9ad5-a46de336416b A,6,3,9.7,1% alcohol,
2ea6da77-9ff3-41a6-9ad5-a46de336416b A,6,3,10.3,,vehicle splitted
2ea6da77-9ff3-41a6-9ad5-a46de336416b A,6,3,9.7,1% alcohol,vehicle splitted
2ea6da77-9ff3-41a6-9ad5-a46de336416b A,12,3,10,CAVE: combined,x
61702aff-9b39-42fe-8c00-c62c2bff42ae B,18,1,9,"(distilled water, dimethyl sulfoxide, and polyethylene glycol 300=1:1:1, v/v ",
61702aff-9b39-42fe-8c00-c62c2bff42ae B,6,2,7,"(distilled water, dimethyl sulfoxide, and polyethylene glycol 300=1:1:1, v/v ",
61702aff-9b39-42fe-8c00-c62c2bff42ae B,18,1,9,"(distilled water, dimethyl sulfoxide, and polyethylene glycol 300=1:1:1, v/v ",x
6f303a27-1ca6-4ff9-9ece-b4d557d2e5e0 A,30,1,2.3,,
6f303a27-1ca6-4ff9-9ece-b4d557d2e5e0 A,30,NA,2.6,,
6f303a27-1ca6-4ff9-9ece-b4d557d2e5e0 A,30,1,2.3,,x
7e7d3286-31d1-4376-8373-8445a381b577 E,6,1,14.7,,
7e7d3286-31d1-4376-8373-8445a381b577 E,6,1,14.6,Saline,
7e7d3286-31d1-4376-8373-8445a381b577 E,6,1,14.7,,vehicle splitted
7e7d3286-31d1-4376-8373-8445a381b577 E,6,1,14.6,Saline,vehicle splitted
7e7d3286-31d1-4376-8373-8445a381b577 E,12,1,14.65,CAVE: combined,x
d4d7776b-93ce-43d4-a9b4-4278088aa35f A,18,1,8.6,PBS,
d4d7776b-93ce-43d4-a9b4-4278088aa35f A,6,2,6.6,PBS,
d4d7776b-93ce-43d4-a9b4-4278088aa35f A,18,1,8.6,PBS,x
e8f3a66e-4af1-4db5-94f6-57c198c2ef32 A,18,1,11,PBS,
e8f3a66e-4af1-4db5-94f6-57c198c2ef32 A,6,2,10,PBS,
e8f3a66e-4af1-4db5-94f6-57c198c2ef32 A,18,1,11,PBS,x
