StudyIdStr,Experiment,NumberOfAnimals,Time,Average
11660f81-c343-4396-a097-74ca3430d6fa,A,32,3,15.63
11660f81-c343-4396-a097-74ca3430d6fa,B,9,2,11.1
11660f81-c343-4396-a097-74ca3430d6fa,combined,41,3,14.6356097560976
55615754-99dc-4dba-a628-da3b780a3d99,A,17,1,23.5294117647059
55615754-99dc-4dba-a628-da3b780a3d99,B,10,8,20
55615754-99dc-4dba-a628-da3b780a3d99,combined,27,8,22.2222222222222
61702aff-9b39-42fe-8c00-c62c2bff42ae,B,38,1,21.0526315789474
61702aff-9b39-42fe-8c00-c62c2bff42ae,C,16,1,12.5
61702aff-9b39-42fe-8c00-c62c2bff42ae,combined,54,1,18.5185185185185
7e7d3286-31d1-4376-8373-8445a381b577,A,43,3,18.6046511627907
7e7d3286-31d1-4376-8373-8445a381b577,B,14,1,14.2857142857143
7e7d3286-31d1-4376-8373-8445a381b577,C,15,1,20
7e7d3286-31d1-4376-8373-8445a381b577,combined,72,3,18.0555555555556
cf210ee3-a04e-4036-a0d9-238e7caf7a06,A,44,NA,18.1818181818182
cf210ee3-a04e-4036-a0d9-238e7caf7a06,B,20,NA,15
cf210ee3-a04e-4036-a0d9-238e7caf7a06,combined,64,NA,17.1875
d9b32b94-334f-4bf7-bf75-2b74b39c4d75,A,15,3,20
d9b32b94-334f-4bf7-bf75-2b74b39c4d75,B,27,2,22.2222222222222
d9b32b94-334f-4bf7-bf75-2b74b39c4d75,combined,42,3,21.4285714285714
e8f3a66e-4af1-4db5-94f6-57c198c2ef32,A,35,2,25.7142857142857
e8f3a66e-4af1-4db5-94f6-57c198c2ef32,B,17,2,17.6470588235294
e8f3a66e-4af1-4db5-94f6-57c198c2ef32,combined,52,2,23.0769230769231
ef45a356-7026-45c3-ab9c-6d94465bb727,A,15,1,20
ef45a356-7026-45c3-ab9c-6d94465bb727,B,42,NA,19.047619047619
ef45a356-7026-45c3-ab9c-6d94465bb727,C,21,1,14.2857142857143
ef45a356-7026-45c3-ab9c-6d94465bb727,combined,78,1,17.9487179487179
ef4ad15c-3f9b-4efd-84a1-ab94609caceb,A,11,1,9.09090909090909
ef4ad15c-3f9b-4efd-84a1-ab94609caceb,B,30,8,83.3
ef4ad15c-3f9b-4efd-84a1-ab94609caceb,combined,41,8,63.390243902439
