joined_StudyID_Exp,NumberOfAnimals,Time,Average,Reconciled
03958613-4da9-4de2-8e6b-f63c33a392e1 A,10,1,0,
03958613-4da9-4de2-8e6b-f63c33a392e1 A,10,2,0,
03958613-4da9-4de2-8e6b-f63c33a392e1 A,10,7,0,
03958613-4da9-4de2-8e6b-f63c33a392e1 A,10,7,0,x
3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A,10,1,0,
3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A,10,2,0,
3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A,10,3,0,
3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A,10,4,0,
3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A,10,5,0,
3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A,10,6,0,
3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A,10,7,0,
3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A,10,7,0,x
4e20f054-08ef-4296-994e-6ca213e76698 A,9,1,0,
4e20f054-08ef-4296-994e-6ca213e76698 A,9,2,0,
4e20f054-08ef-4296-994e-6ca213e76698 A,9,3,23.0769230769231,
4e20f054-08ef-4296-994e-6ca213e76698 A,9,3,23.0769230769231,x
ef4ad15c-3f9b-4efd-84a1-ab94609caceb B,6,1,0,
ef4ad15c-3f9b-4efd-84a1-ab94609caceb B,6,2,0,
ef4ad15c-3f9b-4efd-84a1-ab94609caceb B,6,3,0,
ef4ad15c-3f9b-4efd-84a1-ab94609caceb B,6,4,0,
ef4ad15c-3f9b-4efd-84a1-ab94609caceb B,6,5,16.6666666666667,
ef4ad15c-3f9b-4efd-84a1-ab94609caceb B,6,6,16.6666666666667,
ef4ad15c-3f9b-4efd-84a1-ab94609caceb B,6,7,16.6666666666667,
ef4ad15c-3f9b-4efd-84a1-ab94609caceb B,6,8,16.6666666666667,
ef4ad15c-3f9b-4efd-84a1-ab94609caceb B,6,8,16.6666666666667,x
