idStr,Title,Year,Authors,DOI
67bc2386-8492-472d-976d-2f7011508fe3,A murine model of subarachnoid hemorrhage,2013,Plesnila N Schüller K Bühler D,10.3791/50845
4e20f054-08ef-4296-994e-6ca213e76698,A segmentation-based volumetric approach to localize and quantify cerebral vasospasm based on tomographic imaging data,2017,"Neulen A, Pantel T, Kosterhon M, Kirschner S, Brockmann MA, Kantelhardt SR, Giese A, Thal SC   ",10.1371/journal.pone.0172010
236f4a9d-7f78-4aa2-8a2d-b47e2e03ad4f,Activated autophagy pathway in experimental subarachnoid hemorrhage,2009,"Lee JY, He Y, Sagher O, Keep R, Hua Y, Xi G   ",10.1016/j.brainres.2009.06.028
144a75de-7d63-46bb-a107-8fa93bd2ce84,Activation of epiplexus macrophages in hydrocephalus caused by subarachnoid hemorrhage and thrombin,2019,"Wan Y, Hua Y, Garton HJL, Novakovic N, Keep RF, Xi G   ",10.1111/cns.13203
34951eff-f5a9-4c08-9b4e-3ac47e83c483,Acute cerebral vascular injury after subarachnoid hemorrhage and its prevention by administration of a nitric oxide donor,2007,"Sehba FA, Friedrich V Jr, Makonnen G, Bederson JB   ",10.3171/jns.2007.106.2.321
2083668e-3cc5-4612-a70e-9ffa7038b2d8,Aggravated pulmonary injury after subarachnoid hemorrhage in PDGF-B(ret/ret) mice,2020,"Pan P, Qu J, Li Q, Li R, Yang Y, Zuo S, Liu X, Feng H, Chen Y   ",10.1186/s41016-020-00193-2
7aa59db0-c9d4-45a0-9bca-8fa61bc41df8,"An apoE-derived mimic peptide, COG1410, alleviates early brain injury via reducing apoptosis and neuroinflammation in a mouse model of subarachnoid hemorrhage",2016,"Wu Y, Pang J, Peng J, Cao F, Vitek MP, Li F, Jiang Y, Sun X   ",10.1016/j.neulet.2016.05.058
40eb6735-2129-464e-b255-3ecc0c1dd2a2,Analgesic treatment limits surrogate parameters for early stress and pain response after experimental subarachnoid hemorrhage,2019,"Staib-Lasarzik I, Nagel N, Sebastiani A, Griemert EV, Thal SC   ",10.1186/s12868-019-0531-7
1a12d870-e9b4-43c4-af98-a3f1b5caad5e,Anesthetic and subanesthetic doses of isoflurane conditioning provides strong protection against delayed cerebral ischemia in a mouse model of subarachnoid hemorrhage,2021,"Athiraman U, Liu M, Jayaraman K, Yuan J, Mehla J, Zipfel GJ   ",10.1016/j.brainres.2020.147169
e8f3a66e-4af1-4db5-94f6-57c198c2ef32,Anti-Vascular Endothelial Growth Factor Treatment Suppresses Early Brain Injury After Subarachnoid Hemorrhage in Mice,2016,"Liu L, Fujimoto M, Kawakita F, Nakano F, Imanaka-Yoshida K, Yoshida T, Suzuki H   ",10.1007/s12035-015-9386-9
