#,idStr,Title,Year,Authors,DOI,first_author,first_author_year
1,4e20f054-08ef-4296-994e-6ca213e76698,A segmentation-based volumetric approach to localize and quantify cerebral vasospasm based on tomographic imaging data,2017,"Neulen A, Pantel T, Kosterhon M, Kirschner S, Brockmann MA, Kantelhardt SR, Giese A, Thal SC   ",10.1371/journal.pone.0172010,Neulen,Neulen (2017)
2,7aa59db0-c9d4-45a0-9bca-8fa61bc41df8,"An apoE-derived mimic peptide, COG1410, alleviates early brain injury via reducing apoptosis and neuroinflammation in a mouse model of subarachnoid hemorrhage",2016,"Wu Y, Pang J, Peng J, Cao F, Vitek MP, Li F, Jiang Y, Sun X   ",10.1016/j.neulet.2016.05.058,Wu,Wu (2016)
3,40eb6735-2129-464e-b255-3ecc0c1dd2a2,Analgesic treatment limits surrogate parameters for early stress and pain response after experimental subarachnoid hemorrhage,2019,"Staib-Lasarzik I, Nagel N, Sebastiani A, Griemert EV, Thal SC   ",10.1186/s12868-019-0531-7,Staib-Lasarzik,Staib-Lasarzik (2019)
4,1a12d870-e9b4-43c4-af98-a3f1b5caad5e,Anesthetic and subanesthetic doses of isoflurane conditioning provides strong protection against delayed cerebral ischemia in a mouse model of subarachnoid hemorrhage,2021,"Athiraman U, Liu M, Jayaraman K, Yuan J, Mehla J, Zipfel GJ   ",10.1016/j.brainres.2020.147169,Athiraman,Athiraman (2021)
5,e8f3a66e-4af1-4db5-94f6-57c198c2ef32,Anti-Vascular Endothelial Growth Factor Treatment Suppresses Early Brain Injury After Subarachnoid Hemorrhage in Mice,2016,"Liu L, Fujimoto M, Kawakita F, Nakano F, Imanaka-Yoshida K, Yoshida T, Suzuki H   ",10.1007/s12035-015-9386-9,Liu,Liu (2016)
6,2f3c1ffb-db00-4396-81d1-2051871f6170,Apolipoprotein E Deficiency Aggravates Neuronal Injury by Enhancing Neuroinflammation via the JNK/c-Jun Pathway in the Early Phase of Experimental Subarachnoid Hemorrhage in Mice,2019,"Wu Y, Pang J, Peng J, Cao F, Guo Z, Jiang L, Teng Z, Huang Z, Cheng C, Jiang Y, Sun X   ",10.1155/2019/3832648,Wu,Wu (2019)
7,4c4e2785-7a37-4372-a212-00a99a93b34a,Biglycan regulates neuroinflammation by promoting M1 microglial activation in early brain injury after experimental subarachnoid hemorrhage,2020,"Xie Y, Peng J, Pang J, Guo K, Zhang L, Yin S, Zhou J, Gu L, Tu T, Mu Q, Liao Y, Zhang X, Chen L, Jiang Y   ",10.1111/jnc.14926,Xie,Xie (2020)
8,cf210ee3-a04e-4036-a0d9-238e7caf7a06,Calcium sensing receptor contribute to early brain injury through the CaMKII/NLRP3 pathway after subarachnoid hemorrhage in mice,2020,"Wang C, Jia Q, Sun C, Jing C   ",10.1016/j.bbrc.2020.07.081,Wang,Wang (2020)
9,f068ccce-fdb6-4e46-8644-69d64f427305,Capillary flow disturbances after experimental subarachnoid hemorrhage: A contributor to delayed cerebral ischemia?,2019,"Anzabi M, Angleys H, Aamand R, Ardalan M, Mouridsen K, Rasmussen PM, Sørensen JCH, Plesnila N, Østergaard L, Iversen NK   ",10.1111/micc.12516,Anzabi,Anzabi (2019)
10,7faa52e0-6c96-4611-92ae-5e938b1af4f7,Deficiency of Tenascin-C Alleviates Neuronal Apoptosis and Neuroinflammation After Experimental Subarachnoid Hemorrhage in Mice,2018,"Liu L, Fujimoto M, Nakano F, Nishikawa H, Okada T, Kawakita F, Imanaka-Yoshida K, Yoshida T, Suzuki H   ",10.1007/s12035-018-1006-z,Liu,Liu (2018)
