StudyIdStr,AnnotatorIdStr,GreaterIsWorse,Units,AverageType,NumberOfAnimals,ErrorType,Experiment,Time,Average,Error,Which.type.of.outcome.was.assessed.,ModelLabel,Vehicle.control.,SAH.Grading.System,Diameter.measurement.method,Reconciled.vehicle.control,Reconciled.SAH.grading.system,Reconciled.diameter.measurement.method,Reconciled.Vessel.for.diameter.assessment,Reconciled.Side.of.Vessel.for.diameter.assessment,intubation,strain,postsurgical.treatment,ICP.monitoring,filament.size,type.of.anesthesia,Singe.Group.cage,X12.hour.light.dark.cycle,free.access.to.food.and.water,controlled.humidity,controlled.temperature,temperature..�..C.,humidity....,injetive_anesthetic_substance,injetive_anesthetic_dose,Inhalative.anesthesiea.Substance,Isoflurane.Induction,Isoflurane.Maintenance,Inhalative.Anesthesia.O2.N2.Mixture,Inhalative.Anesthesia.Flow,material,lenght,diameter,sharpened.tip,blunted.tip,monofilament,suture,location_perforation,side_location_perforation,age_median,age_plus_minus,weight_median,weight_plus_minus,surgery_duration,subtance_postsurgical_treatment,vessel_entry_perforation,side_entry_perforation,SAH_grading_summarized
11660f81-c343-4396-a097-74ca3430d6fa,TIMO,TRUE,,Mean,5,SD,C,2,10.4,1.5,SAH grade,SAH,,"] T. Sugawara, R. Ayer, V. Jadhav, J.H. Zhang, A new grading system evaluating bleeding scale in filament perforation subarachnoid hemorrhage rat model, J. Neurosci. Methods 167 (2008) 327–334 ",NA,,Sugawara et al. 2008,NA,NA,NA,not reported,C57/BL6J,FALSE,not reported,5-0,Injective,single cage,,x,x,x,NA,NA,Sodium Pentorbital,60 mg/kg,NA,NA,NA,NA,NA,Prolene,NA,5-0,,,,,Bifurcation of ACA and MCA,,7,1,20,2,30,,ECA,right,Sugawara 2008
2ea6da77-9ff3-41a6-9ad5-a46de336416b,TIMO,TRUE,,Mean,6,SEM,A,1,13.5,0.9,SAH grade,SAH,,"Sugawara T, Ayer R, Jadhav V, Zhang JH: A new grading system evaluating bleeding scale in filament perforation subarachnoid hemorrhage rat model. J Neurosci Meth 167: 327-334, 2008 ",NA,,Sugawara et al. 2008,NA,NA,NA,not reported,C57/BL6J,FALSE,not reported,5-0,Injective,not reported whether single or group cage,NA,NA,NA,NA,NA,NA,Sodium Pentorbital,40 mg/kg,NA,NA,NA,NA,NA,Nylon,NA,4-0,x,,x,x,Bifurcation of ICA,,"Umrechnung Months → Weeks: divided by 4,345",NA,26,4,NA,,ECA,,Sugawara 2008
2f3c1ffb-db00-4396-81d1-2051871f6170,TIMO,TRUE,,Mean,6,SD,A,3,11.5,2.5,SAH grade,SAH,,"Sugawara T, Ayer R, Jadhav V, Zhang JH: A new grading system evaluating bleeding scale in filament perforation subarachnoid hemorrhage rat model. J Neurosci Meth 167: 327-334, 2008 ",NA,,Sugawara et al. 2008,NA,NA,NA,not reported,C57/BL6J,FALSE,not reported,5-0,Injective,not reported whether single or group cage,NA,NA,NA,NA,NA,NA,Sodium Pentorbital,50 mg/kg,NA,NA,NA,NA,NA,Prolene,NA,5-0,,,,,ACA,,10,2,NA,NA,NA,,ECA,right,Sugawara 2008
4c4e2785-7a37-4372-a212-00a99a93b34a,TIMO,TRUE,%,Mean,28,SD,A,2,12.9,1.5,SAH grade,SAH,,"Sugawara, Ayer, Jadhav, & Zhang, 2008 ",NA,,Sugawara et al. 2008,NA,NA,NA,not reported,C57/BL6J,Reported that no postsurgical treatment was given,not reported,5-0,Injective,group cage,x,x,x,x,NA,NA,Sodium Pentorbital,50 mg/kg,NA,NA,NA,NA,NA,Nylon,NA,5-0,,,x,x,Bifurcation of ACA and MCA,,9,1,20,2,NA,No medication,ECA,right,Sugawara 2008
55615754-99dc-4dba-a628-da3b780a3d99,TIMO,TRUE,%,Mean,17,SD,A,1,9,3.3,SAH grade,SAH,,"Sugawara, Ayer, Jadhav, & Zhang, 2008 ",NA,,Sugawara et al. 2008,NA,NA,NA,no,C57/BL6,FALSE,not reported,5-0,Inhalative,not reported whether single or group cage,x,x,,x,NA,NA,NA,NA,Isoflurane,4.00%,2.00%,30/70,,Nylon,NA,5-0,,x,x,,ACA,left,NA,NA,27.5,5.5,NA,,ICA,left,Sugawara 2008
5af257e3-1c25-4e41-9d7b-4e017fb5b981,TIMO,TRUE,%,Mean,21,SEM,A,1,10.2,1.2,SAH grade,SAH,,"Sugawara, Ayer, Jadhav, & Zhang, 2008 ",NA,,Sugawara et al. 2008,NA,NA,NA,no,C57/BL6J,FALSE,yes,5-0,Injective,not reported whether single or group cage,,x,,,NA,NA,Sodium Pentorbital,50 mg/kg,NA,NA,NA,NA,NA,Prolene,NA,5-0,,,,,Bifurcation of ACA and MCA,,8,0.61,20.1,0.65,NA,,ECA,,Sugawara 2008
61702aff-9b39-42fe-8c00-c62c2bff42ae,TIMO,TRUE,%,Median,30,SD,C,1,8.9,2.4,SAH grade,SAH,"(distilled water, dimethyl sulfoxide, and polyethylene glycol 300=1:1:1, v/v ","Sugawara, Ayer, Jadhav, & Zhang, 2008 ",NA,"distilled water, DMSO and polyethylene glycol 1:1:1",Sugawara et al. 2008,NA,NA,NA,not reported,C57/BL6,FALSE,not reported,4-0,Injective,not reported whether single or group cage,x,x,x,x,NA,NA,Tribromoethanol ,250 mg/kg,NA,NA,NA,NA,NA,Nylon,NA,5-0,x,,x,x,Bifurcation of ACA and MCA,left,11,1,27.5,2.5,NA,,ECA,left,Sugawara 2008
7aa59db0-c9d4-45a0-9bca-8fa61bc41df8,TIMO,TRUE,,Mean,20,SD,A,1,13.3,2.8,SAH grade,SAH,Saline,"] T. Sugawara, R. Ayer, V. Jadhav, J.H. Zhang, A new grading system evaluating bleeding scale in filament perforation subarachnoid hemorrhage rat model, J. Neurosci. Methods 167 (2008) 327–334. ",NA,0.9% NaCl / Saline,Sugawara et al. 2008,NA,NA,NA,not reported,C57/BL6J,FALSE,not reported,5-0,Injective,not reported whether single or group cage,NA,NA,NA,NA,NA,NA,Sodium Pentorbital,50 mg/kg,NA,NA,NA,NA,NA,Prolene,NA,5-0,,,,,ACA,right,11,1,NA,NA,NA,,ECA,right,Sugawara 2008
7e7d3286-31d1-4376-8373-8445a381b577,TIMO,TRUE,,Mean,6,SD,E,1,14.7,1.7,SAH grade,SAH,,"T. Sugawara, R. Ayer, V. Jadhav, and J. H. Zhang, “A new grading system evaluating bleeding scale in filament perforation subarachnoid hemorrhage rat model,” Journal of neuroscience methods, vol. 167, no. 2, pp. 327–334, 2008.",NA,,Sugawara et al. 2008,NA,NA,NA,no,C57/BL6J,FALSE,not reported,5-0,Inhalative,not reported whether single or group cage,x,x,x,x,NA,NA,NA,NA,Isoflurane,3-4%,1-1.5%,,,,NA,5-0,,,,,Bifurcation of ACA and MCA,,10,2,20,2,NA,,ECA,right,Sugawara 2008
7faa52e0-6c96-4611-92ae-5e938b1af4f7,TIMO,TRUE,,Mean,10,SD,A,1,10,1.5,SAH grade,SAH,,"T. Sugawara, R. Ayer, V. Jadhav, and J. H. Zhang, “A new grading system evaluating bleeding scale in filament perforation subarachnoid hemorrhage rat model,” Journal of neuroscience methods, vol. 167, no. 2, pp. 327–334, 2008.",NA,,Sugawara et al. 2008,NA,NA,NA,not reported,C57/BL6,FALSE,not reported,4-0,Injective,not reported whether single or group cage,x,x,x,x,NA,NA,Tribromoethanol ,250 mg/kg,NA,NA,NA,NA,NA,Nylon,NA,4-0,x,,x,x,Bifurcation of ACA and MCA,left,11,1,27.5,2.5,NA,,ECA,left,Sugawara 2008
