StudyID,Description,Substance(s),Dose
03958613-4da9-4de2-8e6b-f63c33a392e1,"midazolam (5mg/kg;), fentanyl(0.05mg/kg; , and medetomidin(0.5mg/kg;)","Midazolam, Fentanyl and Medetomidin","midazolam (5mg/kg), fentanyl(0.05mg/kg), medetomidin(0.5mg/kg)"
11660f81-c343-4396-a097-74ca3430d6fa,sodium pentobarbital (60 mg/kg),Sodium Pentorbital,60 mg/kg
2ea6da77-9ff3-41a6-9ad5-a46de336416b,sodium pentobarbital (40 mg/kg),Sodium Pentorbital,40 mg/kg
2f3c1ffb-db00-4396-81d1-2051871f6170,pentobarbital sodium (50 mg/kg),Sodium Pentorbital,50 mg/kg
33be5e82-27b6-422f-9318-cdd8bef0fc9b,ketamine 100 mg/kg  and xylazine 5–10 mg/kg,Ketamin and Xylazine,"ketamine (100 mg/kg), Xylazine (5–10 mg/kg)"
40090fa0-6946-4076-ba23-9c5b699a5c6e,"5% chloralhydrate (7mg/kg, i.p)",Chloralhydrate,5% 7 mg/kg
487d51c4-eb75-4458-bfb2-e038b743a4ce,0.1 ml/10 g mixed solution consisting of 5 mg/ml of ketamine and 2.5 mg/ml of xylazine. T,Ketamin and Xylazine,"Ketamin (50 mg/kg), Xylazine (25 mg/kg)"
49221963-9cb6-4a25-8dae-48290990747d,ketamine/xylazine (100/10 mg/kg b.w),Ketamin and Xylazine,"Ketamin (100 mg/kg), Xylazine (10 mg/kg)"
4c4e2785-7a37-4372-a212-00a99a93b34a,pentobarbital sodium (50 mg/kg) ,Sodium Pentorbital,50 mg/kg
5af257e3-1c25-4e41-9d7b-4e017fb5b981,pentobarbital sodium (50 mg/kg),Sodium Pentorbital,50 mg/kg
61702aff-9b39-42fe-8c00-c62c2bff42ae,tribromoethanol (250 μg/g),Tribromoethanol ,250 mg/kg
6e8bdf4f-1be9-475c-8883-4bbbb6310b66,"midazolam (5 mg/kg; Braun, Melsungen, Germany), fen-tanyl (0.05 mg/kg; Jansen-Cilag, Neuss, Germany), andmedetomidine (0.5 mg/kg; Pfizer, Karlsruhe, Germany)","Midazolam, Fentanyl and Medetomidin","midazolam (5mg/kg), fentanyl(0.05mg/kg), medetomidin(0.5mg/kg)"
7aa59db0-c9d4-45a0-9bca-8fa61bc41df8,pentobarbitalsodium(50mg/kg),Sodium Pentorbital,50 mg/kg
7faa52e0-6c96-4611-92ae-5e938b1af4f7,tribromoethanol (250 μg/g body weight),Tribromoethanol ,250 mg/kg
971d93e5-4b91-4cdc-884d-1069d7400db7,0.2 mL/100 g of a mixed solution consisting of 5 mg/mL ketamine and 2.5 mg/mL x,Ketamin and Xylazine,"Ketamin (10 mg/kg), Xylazine (5 mg/kg)"
cf210ee3-a04e-4036-a0d9-238e7caf7a06,Pentobarbital (40 mg/kg),Sodium Pentorbital,40 mg/kg
d4d7776b-93ce-43d4-a9b4-4278088aa35f,tribromoethanol (250 μg/g body weight),Tribromoethanol ,250 mg/kg
e8f3a66e-4af1-4db5-94f6-57c198c2ef32,tribromoethanol (250 μg/g body weight),Tribromoethanol ,250 mg/kg
e99bd6b7-7e0b-4047-a4b3-b277aab80a2c,pentobarbital sodium (50 mg/kg),Sodium Pentorbital,50 mg/kg
ee082119-c743-475e-af5f-27fef5150192,"midazolam (5mg/kg;), fentanyl(0.05mg/kg; , and medetomidin(0.5mg/kg;)","Midazolam, Fentanyl and Medetomidin","midazolam (5mg/kg), fentanyl(0.05mg/kg), medetomidin(0.5mg/kg)"
ef45a356-7026-45c3-ab9c-6d94465bb727,"1% pentobarbital (50 mg/ kg, i.p.)",Sodium Pentorbital,50 mg/kg
ef4ad15c-3f9b-4efd-84a1-ab94609caceb,"Avetin = 2,2,2-tribromoethanol: 250 µg / g bodyweight",Tribromoethanol ,250 mg/kg
f068ccce-fdb6-4e46-8644-69d64f427305,"intraperitoneal injection of 0.5 mg/ kg BW medetomidine, 5 mg/kg BW midazolam, and 0.05 mg/ kg BW fentanyl, and anesthesia was maintained by hourly injections of one-quarter of the initial dose","Midazolam, Fentanyl and Medetomidin","midazolam (5mg/kg), fentanyl(0.05mg/kg), medetomidin(0.5mg/kg)"
1a12d870-e9b4-43c4-af98-a3f1b5caad5e,NA,NA,NA
1e244eff-656f-4a3e-b275-5002e5547e76,NA,NA,NA
3b028a2e-bee1-4199-b86d-22736264a99b,NA,NA,NA
3f09f535-cd4b-4f7d-bfc9-41abbf85dbef,NA,NA,NA
40eb6735-2129-464e-b255-3ecc0c1dd2a2,NA,NA,NA
4e20f054-08ef-4296-994e-6ca213e76698,NA,NA,NA
55615754-99dc-4dba-a628-da3b780a3d99,NA,NA,NA
6ba7f978-80f7-4460-a0d9-0f8042112225,NA,NA,NA
6f303a27-1ca6-4ff9-9ece-b4d557d2e5e0,NA,NA,NA
7e7d3286-31d1-4376-8373-8445a381b577,NA,NA,NA
85471734-be40-44d0-b54e-216a1aeb6214,NA,NA,NA
aadfb399-9468-4126-8bac-95f20fb9bf16,NA,NA,NA
bf530f50-f645-4103-8719-029e8d9c9fcb,NA,NA,NA
c2fed96c-4b03-4ae9-907f-a7f58202e6fa,NA,NA,NA
d9b32b94-334f-4bf7-bf75-2b74b39c4d75,NA,NA,NA
d9e5f446-a472-40b8-a4b9-3ea1cd0cf8bf,NA,NA,NA
dee61796-1b46-4e5f-9755-a3af31005637,NA,NA,NA
f0846ef5-5cfe-4481-a655-5b3b63d47e49,NA,NA,NA
fec0d187-a931-44ba-b015-d8fe5398a17f,NA,NA,NA
