StudyIdStr,AnnotatorIdStr,GreaterIsWorse,Units,AverageType,NumberOfAnimals,ErrorType,Experiment,Time,Average,Error,Which.type.of.outcome.was.assessed.,ModelLabel,Vehicle.control.,SAH.Grading.System,Diameter.measurement.method,Reconciled.vehicle.control,Reconciled.SAH.grading.system,Reconciled.diameter.measurement.method,Reconciled.Vessel.for.diameter.assessment,Reconciled.Side.of.Vessel.for.diameter.assessment,intubation,strain,postsurgical treatment,ICP monitoring,filament size,type of anesthesia,Singe/Group cage,12-hour light-dark cycle,free access to food and water,controlled humidity,controlled temperature,temperature (�C),humidity (%),injetive_anesthetic_substance,injetive_anesthetic_dose,Inhalative anesthesiea Substance,Isoflurane Induction,Isoflurane Maintenance,Inhalative Anesthesia O2/N2-Mixture,Inhalative Anesthesia Flow,material,lenght,diameter,sharpened tip,blunted tip,monofilament,suture,location_perforation,side_location_perforation,age_median,age_plus_minus,weight_median,weight_plus_minus,surgery_duration,subtance_postsurgical_treatment,vessel_entry_perforation,side_entry_perforation,deaths
03958613-4da9-4de2-8e6b-f63c33a392e1,TIMO,TRUE,%,Mean,10,,A,1,10,,Mortality rate (%),SAH,,,,,,,,,yes,C57/BL6,FALSE,yes,5-0,Injective,not reported whether single or group cage,NA,NA,NA,NA,NA,NA,"Midazolam, Fentanyl and Medetomidin","midazolam (5mg/kg), fentanyl(0.05mg/kg), medetomidin(0.5mg/kg)",NA,NA,NA,NA,NA,,NA,5-0,,,x,,Bifurcation of ICA and MCA,,,NA,24,1,NA,,ECA,,1
2ea6da77-9ff3-41a6-9ad5-a46de336416b,TIMO,TRUE,%,Mean,12,,A,1,8.33333333333333,,Mortality rate (%),SAH,,,,,,,,,not reported,C57/BL6J,FALSE,not reported,5-0,Injective,not reported whether single or group cage,NA,NA,NA,NA,NA,NA,Sodium Pentorbital,40 mg/kg,NA,NA,NA,NA,NA,Nylon,NA,4-0,x,,x,x,Bifurcation of ICA,,"Umrechnung Months → Weeks: divided by 4,345",NA,26,4,NA,,ECA,,1
2ea6da77-9ff3-41a6-9ad5-a46de336416b,TIMO,TRUE,%,Mean,24,,A,1,12.5,,Mortality rate (%),SAH,1% alcohol,,,1% alcohol,,,,,not reported,C57/BL6J,FALSE,not reported,5-0,Injective,not reported whether single or group cage,NA,NA,NA,NA,NA,NA,Sodium Pentorbital,40 mg/kg,NA,NA,NA,NA,NA,Nylon,NA,4-0,x,,x,x,Bifurcation of ICA,,"Umrechnung Months → Weeks: divided by 4,345",NA,26,4,NA,,ECA,,3
2f3c1ffb-db00-4396-81d1-2051871f6170,TIMO,TRUE,%,Mean,34,,A,1,17.7,,Mortality rate (%),SAH,,,,,,,,,not reported,C57/BL6J,FALSE,not reported,5-0,Injective,not reported whether single or group cage,NA,NA,NA,NA,NA,NA,Sodium Pentorbital,50 mg/kg,NA,NA,NA,NA,NA,Prolene,NA,5-0,,,,,ACA,,10,2,NA,NA,NA,,ECA,right,6
3f09f535-cd4b-4f7d-bfc9-41abbf85dbef,TIMO,TRUE,%,Mean,10,,A,1,0,,Mortality rate (%),SAH,,,,,,,,,yes,C57/BL6,TRUE,yes,5-0,Injective and inhalative anaesthesia combined,not reported whether single or group cage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,5-0,,,x,,Bifurcation of ACA and MCA,,,NA,23.5,1.5,NA,Caprofen,ECA,,0
40eb6735-2129-464e-b255-3ecc0c1dd2a2,TIMO,TRUE,%,Mean,8,,A,1,37.5,,Mortality rate (%),SAH,"0,9% NaCl",,,0.9% NaCl / Saline,,,,,no,C57/BL6N,TRUE,yes,5-0,Inhalative,not reported whether single or group cage,NA,NA,NA,NA,NA,NA,NA,NA,Isoflurane,1.4-2%,,40/60,,,NA,5-0,,,x,,Bifurcation of ICA and MCA,,,NA,20.5,2.5,NA,Buprenorphine and Carprofen,ECA,left,3
49221963-9cb6-4a25-8dae-48290990747d,TIMO,TRUE,%,Mean,46,,A,1,10.8695652173913,,Mortality rate (%),SAH,,,,,,,,,not reported,C57/BL6,FALSE,not reported,5-0,Injective,not reported whether single or group cage,NA,NA,NA,NA,NA,NA,Ketamin and Xylazine,"Ketamin (100 mg/kg), Xylazine (10 mg/kg)",NA,NA,NA,NA,NA,Nylon,NA,5-0,,x,x,x,ACA,right,16,4,NA,NA,NA,,ECA,,5
4e20f054-08ef-4296-994e-6ca213e76698,TIMO,TRUE,%,Mean,13,,A,1,7.69230769230769,,Mortality rate (%),SAH,,,,,,,,,not reported,C57/BL6,FALSE,yes,5-0,Inhalative,not reported whether single or group cage,,x,x,x,23,55,NA,NA,Isoflurane,4.00%,2.00%,,,Prolene,NA,5-0,,,,,not reported,,32.59,6.52,31.9,5.5,NA,,ICA,left,1
55615754-99dc-4dba-a628-da3b780a3d99,TIMO,TRUE,%,Mean,17,,A,1,23.5294117647059,,Mortality rate (%),SAH,,,,,,,,,no,C57/BL6,FALSE,not reported,5-0,Inhalative,not reported whether single or group cage,x,x,,x,NA,NA,NA,NA,Isoflurane,4.00%,2.00%,30/70,,Nylon,NA,5-0,,x,x,,ACA,left,NA,NA,27.5,5.5,NA,,ICA,left,4
5af257e3-1c25-4e41-9d7b-4e017fb5b981,TIMO,TRUE,%,Mean,28,,A,1,25,,Mortality rate (%),SAH,,,,,,,,,no,C57/BL6J,FALSE,yes,5-0,Injective,not reported whether single or group cage,,x,,,NA,NA,Sodium Pentorbital,50 mg/kg,NA,NA,NA,NA,NA,Prolene,NA,5-0,,,,,Bifurcation of ACA and MCA,,8,0.61,20.1,0.65,NA,,ECA,,7
61702aff-9b39-42fe-8c00-c62c2bff42ae,TIMO,TRUE,%,Mean,54,,D,1,18.5185185185185,,Mortality rate (%),SAH,"(distilled water, dimethyl sulfoxide, and polyethylene glycol 300=1:1:1, v/v ",,,"distilled water, DMSO and polyethylene glycol 1:1:1",,,,,not reported,C57/BL6,FALSE,not reported,4-0,Injective,not reported whether single or group cage,x,x,x,x,NA,NA,Tribromoethanol ,250 mg/kg,NA,NA,NA,NA,NA,Nylon,NA,5-0,x,,x,x,Bifurcation of ACA and MCA,left,11,1,27.5,2.5,NA,,ECA,left,10
6ba7f978-80f7-4460-a0d9-0f8042112225,TIMO,TRUE,%,Mean,58,,A,1,18.9655172413793,,Mortality rate (%),SAH,,,,,,,,,not reported,C57/BL6,FALSE,not reported,not reported,Not reported,not reported whether single or group cage,,x,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,,,,not reported,,,NA,26,4,NA,,,,11
