"StudyIdStr","AnnotatorIdStr","GreaterIsWorse","Units","AverageType","NumberOfAnimals","ErrorType","Experiment","Time","Average","Error","Which.type.of.outcome.was.assessed.","ModelLabel","Vehicle.control.","SAH.Grading.System","Diameter.measurement.method","Reconciled.vehicle.control","Reconciled.SAH.grading.system","Reconciled.diameter.measurement.method","Reconciled.Vessel.for.diameter.assessment","Reconciled.Side.of.Vessel.for.diameter.assessment","intubation","strain","postsurgical treatment","ICP monitoring","filament size","type of anesthesia","Singe/Group cage","12-hour light-dark cycle","free access to food and water","controlled humidity","controlled temperature","temperature (°C)","humidity (%)","injetive_anesthetic_substance","injetive_anesthetic_dose","Inhalative anesthesiea Substance","Isoflurane Induction","Isoflurane Maintenance","Inhalative Anesthesia O2/N2-Mixture","Inhalative Anesthesia Flow","material","lenght","diameter","sharpened tip","blunted tip","monofilament","suture","location_perforation","side_location_perforation","age_median","age_plus_minus","weight_median","weight_plus_minus","surgery_duration","subtance_postsurgical_treatment","vessel_entry_perforation","side_entry_perforation","deaths","joinedSE"
"03958613-4da9-4de2-8e6b-f63c33a392e1","TIMO",TRUE,"%","Mean",10,"","A",7,30,"","Mortality rate (%)","SAH","","","","","","","","","yes","C57/BL6","FALSE","yes","5-0","Injective","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,"Midazolam, Fentanyl and Medetomidin","midazolam (5mg/kg), fentanyl(0.05mg/kg), medetomidin(0.5mg/kg)",NA,NA,NA,NA,NA,"",NA,"5-0","","","x","","Bifurcation of ICA and MCA","","",NA,24,1,NA,"","ECA","",3,"03958613-4da9-4de2-8e6b-f63c33a392e1 A"
"1e244eff-656f-4a3e-b275-5002e5547e76","TIMO",TRUE,"%","Mean",34,"","A",0.166666666666667,0,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6","FALSE","not reported","5-0","Inhalative","not reported whether single or group cage","x","x","","",NA,NA,NA,NA,"Isoflurane","5.00%","1.50%","","","",NA,"5-0","","","x","","not reported","","13.04",0,NA,NA,NA,"","ECA","left",0,"1e244eff-656f-4a3e-b275-5002e5547e76 A"
"3b028a2e-bee1-4199-b86d-22736264a99b","TIMO",TRUE,"%","Mean",37,"","A",30,28,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6","TRUE","not reported","5-0","Inhalative","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,NA,NA,"Isoflurane","2.00%","1.50%","","","Nylon",NA,"5-0","","","","x","Bifurcation of ICA","left","12",0,NA,NA,NA,"Ampicillin in Dextrose solution","ECA","left",10,"3b028a2e-bee1-4199-b86d-22736264a99b A"
"3f09f535-cd4b-4f7d-bfc9-41abbf85dbef","TIMO",TRUE,"%","Mean",10,"","A",4,10,"","Mortality rate (%)","SAH","","","","","","","","","yes","C57/BL6","TRUE","yes","5-0","Injective and inhalative anaesthesia combined","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"5-0","","","x","","Bifurcation of ACA and MCA","","",NA,23.5,1.5,NA,"Caprofen","ECA","",1,"3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A"
"3f09f535-cd4b-4f7d-bfc9-41abbf85dbef","TIMO",TRUE,"%","Mean",10,"","A",5,10,"","Mortality rate (%)","SAH","","","","","","","","","yes","C57/BL6","TRUE","yes","5-0","Injective and inhalative anaesthesia combined","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"5-0","","","x","","Bifurcation of ACA and MCA","","",NA,23.5,1.5,NA,"Caprofen","ECA","",1,"3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A"
"3f09f535-cd4b-4f7d-bfc9-41abbf85dbef","TIMO",TRUE,"%","Mean",10,"","A",6,10,"","Mortality rate (%)","SAH","","","","","","","","","yes","C57/BL6","TRUE","yes","5-0","Injective and inhalative anaesthesia combined","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"5-0","","","x","","Bifurcation of ACA and MCA","","",NA,23.5,1.5,NA,"Caprofen","ECA","",1,"3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A"
"3f09f535-cd4b-4f7d-bfc9-41abbf85dbef","TIMO",TRUE,"%","Mean",10,"","A",7,10,"","Mortality rate (%)","SAH","","","","","","","","","yes","C57/BL6","TRUE","yes","5-0","Injective and inhalative anaesthesia combined","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"5-0","","","x","","Bifurcation of ACA and MCA","","",NA,23.5,1.5,NA,"Caprofen","ECA","",1,"3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A"
"55615754-99dc-4dba-a628-da3b780a3d99","TIMO",TRUE,"%","Mean",10,"","B",8,20,"","Mortality rate (%)","SAH","","","","","","","","","no","C57/BL6","FALSE","not reported","5-0","Inhalative","not reported whether single or group cage","x","x","","x",NA,NA,NA,NA,"Isoflurane","4.00%","2.00%","30/70","","Nylon",NA,"5-0","","x","x","","ACA","left",NA,NA,27.5,5.5,NA,"","ICA","left",2,"55615754-99dc-4dba-a628-da3b780a3d99 B"
"61702aff-9b39-42fe-8c00-c62c2bff42ae","TIMO",TRUE,"%","Mean",94,"","B",0.020833333333333,6.38297872340426,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6","FALSE","not reported","4-0","Injective","not reported whether single or group cage","x","x","x","x",NA,NA,"Tribromoethanol ","250 mg/kg",NA,NA,NA,NA,NA,"Nylon",NA,"5-0","x","","x","x","Bifurcation of ACA and MCA","left","11",1,27.5,2.5,NA,"","ECA","left",6,"61702aff-9b39-42fe-8c00-c62c2bff42ae B"
"61702aff-9b39-42fe-8c00-c62c2bff42ae","TIMO",TRUE,"%","Mean",31,"","C",0.020833333333333,0,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6","FALSE","not reported","4-0","Injective","not reported whether single or group cage","x","x","x","x",NA,NA,"Tribromoethanol ","250 mg/kg",NA,NA,NA,NA,NA,"Nylon",NA,"5-0","x","","x","x","Bifurcation of ACA and MCA","left","11",1,27.5,2.5,NA,"","ECA","left",0,"61702aff-9b39-42fe-8c00-c62c2bff42ae C"
