"StudyIdStr","AnnotatorIdStr","GreaterIsWorse","Units","AverageType","NumberOfAnimals","ErrorType","Experiment","Time","Average","Error","Which.type.of.outcome.was.assessed.","ModelLabel","Vehicle.control.","SAH.Grading.System","Diameter.measurement.method","Reconciled.vehicle.control","Reconciled.SAH.grading.system","Reconciled.diameter.measurement.method","Reconciled.Vessel.for.diameter.assessment","Reconciled.Side.of.Vessel.for.diameter.assessment","intubation","strain","postsurgical treatment","ICP monitoring","filament size","type of anesthesia","Singe/Group cage","12-hour light-dark cycle","free access to food and water","controlled humidity","controlled temperature","temperature (�C)","humidity (%)","injetive_anesthetic_substance","injetive_anesthetic_dose","Inhalative anesthesiea Substance","Isoflurane Induction","Isoflurane Maintenance","Inhalative Anesthesia O2/N2-Mixture","Inhalative Anesthesia Flow","material","lenght","diameter","sharpened tip","blunted tip","monofilament","suture","location_perforation","side_location_perforation","age_median","age_plus_minus","weight_median","weight_plus_minus","surgery_duration","subtance_postsurgical_treatment","vessel_entry_perforation","side_entry_perforation","deaths","joinedSE"
"03958613-4da9-4de2-8e6b-f63c33a392e1","TIMO",TRUE,"%","Mean",10,"","A",1,10,"","Mortality rate (%)","SAH","","","","","","","","","yes","C57/BL6","FALSE","yes","5-0","Injective","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,"Midazolam, Fentanyl and Medetomidin","midazolam (5mg/kg), fentanyl(0.05mg/kg), medetomidin(0.5mg/kg)",NA,NA,NA,NA,NA,"",NA,"5-0","","","x","","Bifurcation of ICA and MCA","","",NA,24,1,NA,"","ECA","",1,"03958613-4da9-4de2-8e6b-f63c33a392e1 A"
"03958613-4da9-4de2-8e6b-f63c33a392e1","TIMO",TRUE,"%","Mean",10,"","A",2,30,"","Mortality rate (%)","SAH","","","","","","","","","yes","C57/BL6","FALSE","yes","5-0","Injective","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,"Midazolam, Fentanyl and Medetomidin","midazolam (5mg/kg), fentanyl(0.05mg/kg), medetomidin(0.5mg/kg)",NA,NA,NA,NA,NA,"",NA,"5-0","","","x","","Bifurcation of ICA and MCA","","",NA,24,1,NA,"","ECA","",3,"03958613-4da9-4de2-8e6b-f63c33a392e1 A"
"03958613-4da9-4de2-8e6b-f63c33a392e1","TIMO",TRUE,"%","Mean",10,"","A",7,30,"","Mortality rate (%)","SAH","","","","","","","","","yes","C57/BL6","FALSE","yes","5-0","Injective","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,"Midazolam, Fentanyl and Medetomidin","midazolam (5mg/kg), fentanyl(0.05mg/kg), medetomidin(0.5mg/kg)",NA,NA,NA,NA,NA,"",NA,"5-0","","","x","","Bifurcation of ICA and MCA","","",NA,24,1,NA,"","ECA","",3,"03958613-4da9-4de2-8e6b-f63c33a392e1 A"
"11660f81-c343-4396-a097-74ca3430d6fa","TIMO",TRUE,"%","Mean",32,"","A",3,15.63,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6J","FALSE","not reported","5-0","Injective","single cage","","x","x","x",NA,NA,"Sodium Pentorbital","60 mg/kg",NA,NA,NA,NA,NA,"Prolene",NA,"5-0","","","","","Bifurcation of ACA and MCA","","7",1,20,2,30,"","ECA","right",5,"11660f81-c343-4396-a097-74ca3430d6fa A"
"1a12d870-e9b4-43c4-af98-a3f1b5caad5e","TIMO",TRUE,"%","Mean",19,"","A",3,10.5263157894737,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6J","FALSE","not reported","5-0","Inhalative","group cage","","x","","",NA,NA,NA,NA,"Isoflurane","","","","","Nylon",NA,"5-0","","","","x","Bifurcation of ICA","","12",2,NA,NA,NA,"","ECA","",2,"1a12d870-e9b4-43c4-af98-a3f1b5caad5e A"
"1e244eff-656f-4a3e-b275-5002e5547e76","TIMO",TRUE,"%","Mean",34,"","A",0.166666666666667,0,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6","FALSE","not reported","5-0","Inhalative","not reported whether single or group cage","x","x","","",NA,NA,NA,NA,"Isoflurane","5.00%","1.50%","","","",NA,"5-0","","","x","","not reported","","13.04",0,NA,NA,NA,"","ECA","left",0,"1e244eff-656f-4a3e-b275-5002e5547e76 A"
"2ea6da77-9ff3-41a6-9ad5-a46de336416b","TIMO",TRUE,"%","Mean",12,"","A",1,8.33333333333333,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6J","FALSE","not reported","5-0","Injective","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,"Sodium Pentorbital","40 mg/kg",NA,NA,NA,NA,NA,"Nylon",NA,"4-0","x","","x","x","Bifurcation of ICA","","Umrechnung Months → Weeks: divided by 4,345",NA,26,4,NA,"","ECA","",1,"2ea6da77-9ff3-41a6-9ad5-a46de336416b A"
"2f3c1ffb-db00-4396-81d1-2051871f6170","TIMO",TRUE,"%","Mean",34,"","A",1,17.7,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6J","FALSE","not reported","5-0","Injective","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,"Sodium Pentorbital","50 mg/kg",NA,NA,NA,NA,NA,"Prolene",NA,"5-0","","","","","ACA","","10",2,NA,NA,NA,"","ECA","right",6,"2f3c1ffb-db00-4396-81d1-2051871f6170 A"
"2f3c1ffb-db00-4396-81d1-2051871f6170","TIMO",TRUE,"%","Mean",34,"","A",2,26.4,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6J","FALSE","not reported","5-0","Injective","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,"Sodium Pentorbital","50 mg/kg",NA,NA,NA,NA,NA,"Prolene",NA,"5-0","","","","","ACA","","10",2,NA,NA,NA,"","ECA","right",9,"2f3c1ffb-db00-4396-81d1-2051871f6170 A"
"2f3c1ffb-db00-4396-81d1-2051871f6170","TIMO",TRUE,"%","Mean",34,"","A",3,29.4,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6J","FALSE","not reported","5-0","Injective","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,"Sodium Pentorbital","50 mg/kg",NA,NA,NA,NA,NA,"Prolene",NA,"5-0","","","","","ACA","","10",2,NA,NA,NA,"","ECA","right",10,"2f3c1ffb-db00-4396-81d1-2051871f6170 A"
