"StudyIdStr","AnnotatorIdStr","GreaterIsWorse","Units","AverageType","NumberOfAnimals","ErrorType","Experiment","Time","Average","Error","Which.type.of.outcome.was.assessed.","ModelLabel","Vehicle.control.","SAH.Grading.System","Diameter.measurement.method","Reconciled.vehicle.control","Reconciled.SAH.grading.system","Reconciled.diameter.measurement.method","Reconciled.Vessel.for.diameter.assessment","Reconciled.Side.of.Vessel.for.diameter.assessment","intubation","strain","postsurgical treatment","ICP monitoring","filament size","type of anesthesia","Singe/Group cage","12-hour light-dark cycle","free access to food and water","controlled humidity","controlled temperature","temperature (�C)","humidity (%)","injetive_anesthetic_substance","injetive_anesthetic_dose","Inhalative anesthesiea Substance","Isoflurane Induction","Isoflurane Maintenance","Inhalative Anesthesia O2/N2-Mixture","Inhalative Anesthesia Flow","material","lenght","diameter","sharpened tip","blunted tip","monofilament","suture","location_perforation","side_location_perforation","age_median","age_plus_minus","weight_median","weight_plus_minus","surgery_duration","subtance_postsurgical_treatment","vessel_entry_perforation","side_entry_perforation","deaths","joinedSE"
"11660f81-c343-4396-a097-74ca3430d6fa","TIMO",TRUE,"%","Mean",9,"","B",2,11.1,"","Mortality rate (%)","SAH","DMSO","","","DMSO","","","","","not reported","C57/BL6J","FALSE","not reported","5-0","Injective","single cage","","x","x","x",NA,NA,"Sodium Pentorbital","60 mg/kg",NA,NA,NA,NA,NA,"Prolene",NA,"5-0","","","","","Bifurcation of ACA and MCA","","7",1,20,2,30,"","ECA","right",1,"11660f81-c343-4396-a097-74ca3430d6fa B"
"2ea6da77-9ff3-41a6-9ad5-a46de336416b","TIMO",TRUE,"%","Mean",24,"","A",1,12.5,"","Mortality rate (%)","SAH","1% alcohol","","","1% alcohol","","","","","not reported","C57/BL6J","FALSE","not reported","5-0","Injective","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,"Sodium Pentorbital","40 mg/kg",NA,NA,NA,NA,NA,"Nylon",NA,"4-0","x","","x","x","Bifurcation of ICA","","Umrechnung Months → Weeks: divided by 4,345",NA,26,4,NA,"","ECA","",3,"2ea6da77-9ff3-41a6-9ad5-a46de336416b A"
"40eb6735-2129-464e-b255-3ecc0c1dd2a2","TIMO",TRUE,"%","Mean",8,"","A",1,37.5,"","Mortality rate (%)","SAH","0,9% NaCl","","","0.9% NaCl / Saline","","","","","no","C57/BL6N","TRUE","yes","5-0","Inhalative","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,NA,NA,"Isoflurane","1.4-2%","","40/60","","",NA,"5-0","","","x","","Bifurcation of ICA and MCA","","",NA,20.5,2.5,NA,"Buprenorphine and Carprofen","ECA","left",3,"40eb6735-2129-464e-b255-3ecc0c1dd2a2 A"
"61702aff-9b39-42fe-8c00-c62c2bff42ae","TIMO",TRUE,"%","Mean",38,"","B",1,21.0526315789474,"","Mortality rate (%)","SAH","(distilled water, dimethyl sulfoxide, and polyethylene glycol 300=1:1:1, v/v ","","","distilled water, DMSO and polyethylene glycol 1:1:1","","","","","not reported","C57/BL6","FALSE","not reported","4-0","Injective","not reported whether single or group cage","x","x","x","x",NA,NA,"Tribromoethanol ","250 mg/kg",NA,NA,NA,NA,NA,"Nylon",NA,"5-0","x","","x","x","Bifurcation of ACA and MCA","left","11",1,27.5,2.5,NA,"","ECA","left",8,"61702aff-9b39-42fe-8c00-c62c2bff42ae B"
"61702aff-9b39-42fe-8c00-c62c2bff42ae","TIMO",TRUE,"%","Mean",10,"","B",2,40,"","Mortality rate (%)","SAH","(distilled water, dimethyl sulfoxide, and polyethylene glycol 300=1:1:1, v/v ","","","distilled water, DMSO and polyethylene glycol 1:1:1","","","","","not reported","C57/BL6","FALSE","not reported","4-0","Injective","not reported whether single or group cage","x","x","x","x",NA,NA,"Tribromoethanol ","250 mg/kg",NA,NA,NA,NA,NA,"Nylon",NA,"5-0","x","","x","x","Bifurcation of ACA and MCA","left","11",1,27.5,2.5,NA,"","ECA","left",4,"61702aff-9b39-42fe-8c00-c62c2bff42ae B"
"61702aff-9b39-42fe-8c00-c62c2bff42ae","TIMO",TRUE,"%","Mean",16,"","C",1,12.5,"","Mortality rate (%)","SAH","(distilled water, dimethyl sulfoxide, and polyethylene glycol 300=1:1:1, v/v ","","","distilled water, DMSO and polyethylene glycol 1:1:1","","","","","not reported","C57/BL6","FALSE","not reported","4-0","Injective","not reported whether single or group cage","x","x","x","x",NA,NA,"Tribromoethanol ","250 mg/kg",NA,NA,NA,NA,NA,"Nylon",NA,"5-0","x","","x","x","Bifurcation of ACA and MCA","left","11",1,27.5,2.5,NA,"","ECA","left",2,"61702aff-9b39-42fe-8c00-c62c2bff42ae C"
"7aa59db0-c9d4-45a0-9bca-8fa61bc41df8","TIMO",TRUE,"%","Mean",28,"","A",1,28.6,"","Mortality rate (%)","SAH","Saline","","","0.9% NaCl / Saline","","","","","not reported","C57/BL6J","FALSE","not reported","5-0","Injective","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,"Sodium Pentorbital","50 mg/kg",NA,NA,NA,NA,NA,"Prolene",NA,"5-0","","","","","ACA","right","11",1,NA,NA,NA,"","ECA","right",8,"7aa59db0-c9d4-45a0-9bca-8fa61bc41df8 A"
"7e7d3286-31d1-4376-8373-8445a381b577","TIMO",TRUE,"%","Mean",14,"","B",1,14.2857142857143,"","Mortality rate (%)","SAH","Saline","","","0.9% NaCl / Saline","","","","","no","C57/BL6J","FALSE","not reported","5-0","Inhalative","not reported whether single or group cage","x","x","x","x",NA,NA,NA,NA,"Isoflurane","3-4%","1-1.5%","","","",NA,"5-0","","","","","Bifurcation of ACA and MCA","","10",2,20,2,NA,"","ECA","right",2,"7e7d3286-31d1-4376-8373-8445a381b577 B"
"7e7d3286-31d1-4376-8373-8445a381b577","TIMO",TRUE,"%","Mean",15,"","C",1,20,"","Mortality rate (%)","SAH","Saline","","","0.9% NaCl / Saline","","","","","no","C57/BL6J","FALSE","not reported","5-0","Inhalative","not reported whether single or group cage","x","x","x","x",NA,NA,NA,NA,"Isoflurane","3-4%","1-1.5%","","","",NA,"5-0","","","","","Bifurcation of ACA and MCA","","10",2,20,2,NA,"","ECA","right",3,"7e7d3286-31d1-4376-8373-8445a381b577 C"
"cf210ee3-a04e-4036-a0d9-238e7caf7a06","TIMO",TRUE,"%","Mean",44,"","A",NA,18.1818181818182,"","Mortality rate (%)","SAH","Saline + DMSO","","","Saline + DMSO","","","","","not reported","C57/BL6","FALSE","not reported","5-0","Injective","not reported whether single or group cage","x","x","","x",NA,NA,"Sodium Pentorbital","40 mg/kg",NA,NA,NA,NA,NA,"Nylon",NA,"5-0","","","x","","ICA","",NA,NA,22.5,2.5,NA,"","ECA","left",8,"cf210ee3-a04e-4036-a0d9-238e7caf7a06 A"
