"StudyIdStr","cases","total","Longest_observation_time","Number_of_experiments","author","year","authoryear"
"03958613-4da9-4de2-8e6b-f63c33a392e1",0,10,7,1,"Study",1,"Study   1"
"11660f81-c343-4396-a097-74ca3430d6fa",0,16,3,2,"Study",2,"Study   2"
"1a12d870-e9b4-43c4-af98-a3f1b5caad5e",0,18,3,1,"Study",3,"Study   3"
"1e244eff-656f-4a3e-b275-5002e5547e76",0,17,0.166666666666667,1,"Study",4,"Study   4"
"2ea6da77-9ff3-41a6-9ad5-a46de336416b",0,24,1,1,"Study",5,"Study   5"
"33be5e82-27b6-422f-9318-cdd8bef0fc9b",0,9,3,1,"Study",7,"Study   7"
"3f09f535-cd4b-4f7d-bfc9-41abbf85dbef",0,10,7,1,"Study",8,"Study   8"
"40eb6735-2129-464e-b255-3ecc0c1dd2a2",0,5,1,1,"Study",10,"Study   10"
"487d51c4-eb75-4458-bfb2-e038b743a4ce",0,15,NA,1,"Study",11,"Study   11"
"4c4e2785-7a37-4372-a212-00a99a93b34a",1,16,2,1,"Study",12,"Study   12"
"4e20f054-08ef-4296-994e-6ca213e76698",2,9,3,1,"Study",13,"Study   13"
"55615754-99dc-4dba-a628-da3b780a3d99",0,11,1,1,"Study",14,"Study   14"
"5af257e3-1c25-4e41-9d7b-4e017fb5b981",0,15,1,1,"Study",15,"Study   15"
"61702aff-9b39-42fe-8c00-c62c2bff42ae",0,32,2,3,"Study",16,"Study   16"
"7aa59db0-c9d4-45a0-9bca-8fa61bc41df8",0,15,1,1,"Study",18,"Study   18"
"cf210ee3-a04e-4036-a0d9-238e7caf7a06",0,23,NA,2,"Study",22,"Study   22"
"e8f3a66e-4af1-4db5-94f6-57c198c2ef32",0,36,2,2,"Study",25,"Study   25"
