"","unique(MMAS$joinedSE)","deaths","deaths.1","longest time","deaths.2","number of animals","longest time.1","time_match","deaths_sum","animals_sum","overall_longest_time"
"1","03958613-4da9-4de2-8e6b-f63c33a392e1 A",0,10,7,NA,NA,NA,NA,0,NA,7
"2","11660f81-c343-4396-a097-74ca3430d6fa A",0,8,3,NA,NA,NA,NA,0,NA,3
"3","11660f81-c343-4396-a097-74ca3430d6fa B",NA,NA,NA,0,8,2,NA,NA,8,2
"4","1a12d870-e9b4-43c4-af98-a3f1b5caad5e A",0,18,3,NA,NA,NA,NA,0,NA,3
"5","1e244eff-656f-4a3e-b275-5002e5547e76 A",0,17,0.166666666666667,NA,NA,NA,NA,0,NA,0.166666666666667
"6","2ea6da77-9ff3-41a6-9ad5-a46de336416b A",0,24,1,NA,NA,NA,NA,0,NA,1
"7","2f3c1ffb-db00-4396-81d1-2051871f6170 A",NA,NA,3,NA,NA,NA,NA,NA,NA,3
"8","33be5e82-27b6-422f-9318-cdd8bef0fc9b A",0,9,3,NA,NA,NA,NA,0,NA,3
"9","3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A",0,10,7,NA,NA,NA,NA,0,NA,7
"10","40090fa0-6946-4076-ba23-9c5b699a5c6e A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","40eb6735-2129-464e-b255-3ecc0c1dd2a2 A",0,5,1,NA,NA,NA,NA,0,NA,1
"12","487d51c4-eb75-4458-bfb2-e038b743a4ce A",0,15,NA,NA,NA,NA,NA,0,NA,NA
"13","4c4e2785-7a37-4372-a212-00a99a93b34a A",1,16,2,NA,NA,NA,NA,1,NA,2
"14","4e20f054-08ef-4296-994e-6ca213e76698 A",2,9,3,NA,NA,NA,NA,2,NA,3
"15","55615754-99dc-4dba-a628-da3b780a3d99 A",0,11,1,NA,NA,NA,NA,0,NA,1
"16","5af257e3-1c25-4e41-9d7b-4e017fb5b981 A",0,15,1,NA,NA,NA,NA,0,NA,1
"17","61702aff-9b39-42fe-8c00-c62c2bff42ae A",NA,NA,NA,0,4,1,NA,NA,4,1
"18","61702aff-9b39-42fe-8c00-c62c2bff42ae B",NA,NA,NA,0,22,2,NA,NA,22,2
"19","61702aff-9b39-42fe-8c00-c62c2bff42ae C",NA,NA,NA,0,6,1,NA,NA,6,1
"20","6e8bdf4f-1be9-475c-8883-4bbbb6310b66 A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","7aa59db0-c9d4-45a0-9bca-8fa61bc41df8 A",NA,NA,NA,0,15,1,NA,NA,15,1
"22","7e7d3286-31d1-4376-8373-8445a381b577 D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","7faa52e0-6c96-4611-92ae-5e938b1af4f7 A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","bf530f50-f645-4103-8719-029e8d9c9fcb A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","cf210ee3-a04e-4036-a0d9-238e7caf7a06 A",NA,NA,NA,0,6,NA,NA,NA,6,NA
"26","cf210ee3-a04e-4036-a0d9-238e7caf7a06 B",NA,NA,NA,0,17,NA,NA,NA,17,NA
"27","d4d7776b-93ce-43d4-a9b4-4278088aa35f A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","d9b32b94-334f-4bf7-bf75-2b74b39c4d75 B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","e8f3a66e-4af1-4db5-94f6-57c198c2ef32 A",NA,NA,NA,0,24,2,NA,NA,24,2
"30","e8f3a66e-4af1-4db5-94f6-57c198c2ef32 B",NA,NA,NA,0,12,2,NA,NA,12,2
"31","e99bd6b7-7e0b-4047-a4b3-b277aab80a2c A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","ef45a356-7026-45c3-ab9c-6d94465bb727 A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","ef45a356-7026-45c3-ab9c-6d94465bb727 B",NA,NA,NA,0,34,NA,NA,NA,34,NA
"34","ef4ad15c-3f9b-4efd-84a1-ab94609caceb B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","f068ccce-fdb6-4e46-8644-69d64f427305 A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","f0846ef5-5cfe-4481-a655-5b3b63d47e49 A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","fec0d187-a931-44ba-b015-d8fe5398a17f A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
