ProjectId,StudyId,Author,Year,ExperimentID,CohortId,InferredSham,ModelType,ModelID,InterventionType,InterventionID,NumberOfAnimals,OutcomeId,TypeOfOutcomeResult,GreaterIsWorse,OutcomeResult,OutcomeError,ErrorType,TimeInMinute,AnnotatorIdStr,DateTimeCreated,Reconciled,Units,idStr,StageIdStr,StudyLabel,Was the size of the filament used for perforation model reported?,Was the perforation entry point reported?,Were the mice intubated?,Which mouse strain was used?,What are the information on mice sex?,Was the location of perforation reported?,Were any methods to reduce postsurgical pain/stress of mice reported,Was intracranial pressure montitored?,Did they use a sham group?,What was the size of the filament used for perforation model?,How were the mice anaesthetised?,What was the number of mice in untreated control group?,How were the animal housing conditions described?,Were animals with immunodepression used for experiments?,Is SAH grade reported?,Which intravenous anaesthetic was used?,How were the other animal housing conditions described?,Which filament was used for perforation model?,Corresponding authors name,Where was the location of perforation?,What is the age of the mice?,Is the age of the mice reported?,Which other anaesthetical procedure was used?,Which intervention was tested?,Which other filament type was used for perforation model?,How was the weight of the mice?,Were information about mouse sex given?,Corresponding author email,Which inhalative anaesthetic was used?,Was the duration of surgical treatment of perforation reported?,What is the number of mice in the sham group?,Which methods to reduce postsurgical pain/stress of mice were used?,Was the number of mice in the untreated control group reported?,Was the number of mice in the sham group reported?,Mouse strain reported?,How long was the duration of surgical treatment of perforation?,Were information about the weight of the mice given?,Where was the perforation entry point?,ExperimentLabel,Experiment label?,How was the timepoint of outcome assessment specified?,CohortLabel,Cohort label?,Number of animals in cohort,OutcomeLabel,Outcome measure average type,Which type of outcome was assessed?,Greater is worse.,Outcome measure units,Outcome measure error type,Outcome assessment procedure label?,ModelLabel,Disease model induction procedure label?,InterventionLabel,Treatment procedure label?
f526e2e8-f447-497e-91ed-9612ef7806ae,03958613-4da9-4de2-8e6b-f63c33a392e1,,2010,72ce4c86-5e4d-4e75-b1c7-83766abeb2d8,555d0f5c-a255-421b-a7a2-391c76034b5b,,model control,74d101be-cded-49a4-900a-a598f654831f,,,10,a9b154bf-b7a3-45e1-bd8f-8b3d87f81f8f,mean,TRUE,10,0,sd,1,1d362025-1467-4810-8d69-52df43b69821,2021-10-09 20:04:19,FALSE,%,67ad2345-90c7-4e15-a88f-e328ee4c2922,ba5a088a-1c1a-4669-a282-2a8b12f393a7,Root,TRUE,TRUE,yes,C57Bl6,male,TRUE,FALSE,yes,TRUE,5-0 monofilament,Injective,,not reported,no,FALSE,midazolam fentanyl  medetomidin,,not reported, Nikolaus Plesnila,bifurcation of the ICA and the MCA,,FALSE,,perforation,,23-25g,TRUE,nikolausplesnila@rcsi.ie,,FALSE,equal to the experiment group,,FALSE,TRUE,TRUE,,TRUE,external carotid artery,mortality rate,mortality rate,,SAH,SAH,10,mortality,Mean,Mortality rate (%),TRUE,%,SD,mortality,SAH,SAH,,
f526e2e8-f447-497e-91ed-9612ef7806ae,03958613-4da9-4de2-8e6b-f63c33a392e1,,2010,72ce4c86-5e4d-4e75-b1c7-83766abeb2d8,555d0f5c-a255-421b-a7a2-391c76034b5b,,model control,74d101be-cded-49a4-900a-a598f654831f,,,10,a9b154bf-b7a3-45e1-bd8f-8b3d87f81f8f,mean,TRUE,20,0,sd,2,1d362025-1467-4810-8d69-52df43b69821,2021-10-09 20:04:19,FALSE,%,67ad2345-90c7-4e15-a88f-e328ee4c2922,ba5a088a-1c1a-4669-a282-2a8b12f393a7,Root,TRUE,TRUE,yes,C57Bl6,male,TRUE,FALSE,yes,TRUE,5-0 monofilament,Injective,,not reported,no,FALSE,midazolam fentanyl  medetomidin,,not reported, Nikolaus Plesnila,bifurcation of the ICA and the MCA,,FALSE,,perforation,,23-25g,TRUE,nikolausplesnila@rcsi.ie,,FALSE,equal to the experiment group,,FALSE,TRUE,TRUE,,TRUE,external carotid artery,mortality rate,mortality rate,,SAH,SAH,10,mortality,Mean,Mortality rate (%),TRUE,%,SD,mortality,SAH,SAH,,
f526e2e8-f447-497e-91ed-9612ef7806ae,03958613-4da9-4de2-8e6b-f63c33a392e1,,2010,369857db-30eb-40a6-8583-9fb386591596,f692fd7a-a1ef-424e-874c-94c4c0de6363,,,,,,10,a9b154bf-b7a3-45e1-bd8f-8b3d87f81f8f,mean,TRUE,0,0,sd,1,1d362025-1467-4810-8d69-52df43b69821,2021-10-09 20:04:19,FALSE,%,c98222b0-3597-401a-81bf-1e88808a5ba8,ba5a088a-1c1a-4669-a282-2a8b12f393a7,Root,TRUE,TRUE,yes,C57Bl6,male,TRUE,FALSE,yes,TRUE,5-0 monofilament,Injective,,not reported,no,FALSE,midazolam fentanyl  medetomidin,,not reported, Nikolaus Plesnila,bifurcation of the ICA and the MCA,,FALSE,,perforation,,23-25g,TRUE,nikolausplesnila@rcsi.ie,,FALSE,equal to the experiment group,,FALSE,TRUE,TRUE,,TRUE,external carotid artery,sham mortality,sham mortality,,Sham,Sham,10,mortality,Mean,Mortality rate (%),TRUE,%,SD,mortality,,,,
f526e2e8-f447-497e-91ed-9612ef7806ae,03958613-4da9-4de2-8e6b-f63c33a392e1,,2010,dbf8b8da-701e-47fb-87ab-03942718dced,27eaee15-a00e-41ce-b62b-d0dd405b1bda,,model,19f706d2-35a9-463b-b1c7-e204d5a0e9d5,intervention control,1f6f0519-97bc-4e32-99cc-bcf26dda0d20,9,f42fe6f4-12b5-4c07-a735-c923d4f0ae82,mean,TRUE,0,0,sem,0,4c1843fd-ea20-4674-a0bc-8d11c2c03bdf,2021-10-06 09:48:20,FALSE,%,bc697475-4797-49e3-8d36-b368ab0f6abb,ba5a088a-1c1a-4669-a282-2a8b12f393a7,Root,TRUE,TRUE,yes,C57Bl,m,TRUE,FALSE,yes,TRUE,5-0,Injective,10,not reported,no,FALSE,"midazolam (5mg/kg;), fentanyl(0.05mg/kg; , and medetomidin(0.5mg/kg;)",,other, Nikolaus Plesnila,near the bifurcation of internal carotid artery and middle cerebral arterty,,FALSE,,detection of suitable parameters ,monofilament,,TRUE,nikolausplesnila@rcsi.ie,,FALSE,10,,TRUE,TRUE,TRUE,,FALSE,external carotid artery,2,2,,2,2,9,Mortalitay rate,Mean,Mortality rate (%),TRUE,%,SEM,Mortalitay rate,SAH,SAH,Sham,Sham
f526e2e8-f447-497e-91ed-9612ef7806ae,03958613-4da9-4de2-8e6b-f63c33a392e1,,2010,198a1ac1-a492-45d9-b9c8-f03f74cfcb08,f3dc5d43-d2e8-4007-a311-71100c610b8e,,model,19f706d2-35a9-463b-b1c7-e204d5a0e9d5,intervention,b2379748-3787-4c49-bf01-cae24c7c91e5,10,f42fe6f4-12b5-4c07-a735-c923d4f0ae82,mean,TRUE,1,0,sem,1,4c1843fd-ea20-4674-a0bc-8d11c2c03bdf,2021-10-06 09:48:20,FALSE,%,b1df6d2b-993f-43e4-893a-b3b4a081113a,ba5a088a-1c1a-4669-a282-2a8b12f393a7,Root,TRUE,TRUE,yes,C57Bl,m,TRUE,FALSE,yes,TRUE,5-0,Injective,10,not reported,no,FALSE,"midazolam (5mg/kg;), fentanyl(0.05mg/kg; , and medetomidin(0.5mg/kg;)",,other, Nikolaus Plesnila,near the bifurcation of internal carotid artery and middle cerebral arterty,,FALSE,,detection of suitable parameters ,monofilament,,TRUE,nikolausplesnila@rcsi.ie,,FALSE,10,,TRUE,TRUE,TRUE,,FALSE,external carotid artery,1,1,,1,1,10,Mortalitay rate,Mean,Mortality rate (%),TRUE,%,SEM,Mortalitay rate,SAH,SAH,SAH,SAH
f526e2e8-f447-497e-91ed-9612ef7806ae,03958613-4da9-4de2-8e6b-f63c33a392e1,,2010,198a1ac1-a492-45d9-b9c8-f03f74cfcb08,f3dc5d43-d2e8-4007-a311-71100c610b8e,,model,19f706d2-35a9-463b-b1c7-e204d5a0e9d5,intervention,b2379748-3787-4c49-bf01-cae24c7c91e5,10,f42fe6f4-12b5-4c07-a735-c923d4f0ae82,mean,TRUE,2,0,sem,2,4c1843fd-ea20-4674-a0bc-8d11c2c03bdf,2021-10-06 09:48:20,FALSE,%,b1df6d2b-993f-43e4-893a-b3b4a081113a,ba5a088a-1c1a-4669-a282-2a8b12f393a7,Root,TRUE,TRUE,yes,C57Bl,m,TRUE,FALSE,yes,TRUE,5-0,Injective,10,not reported,no,FALSE,"midazolam (5mg/kg;), fentanyl(0.05mg/kg; , and medetomidin(0.5mg/kg;)",,other, Nikolaus Plesnila,near the bifurcation of internal carotid artery and middle cerebral arterty,,FALSE,,detection of suitable parameters ,monofilament,,TRUE,nikolausplesnila@rcsi.ie,,FALSE,10,,TRUE,TRUE,TRUE,,FALSE,external carotid artery,1,1,,1,1,10,Mortalitay rate,Mean,Mortality rate (%),TRUE,%,SEM,Mortalitay rate,SAH,SAH,SAH,SAH
f526e2e8-f447-497e-91ed-9612ef7806ae,11660f81-c343-4396-a097-74ca3430d6fa,,2020,b42d5ebd-dac1-4fb6-a34a-3dedde0564d8,3076c1be-ecf1-4ca5-bae8-e7c59d9902f8,,model,60be912d-1149-486b-9870-518f44aa5e9a,intervention,9b51bb95-7303-43f3-b201-ce89f3ae3a92,32,039fd83c-ea58-436d-a4da-e1ebe9ebc327,mean,TRUE,15.63,0,sd,1,1d362025-1467-4810-8d69-52df43b69821,2021-10-22 09:15:38,FALSE,%,85e956a0-eda7-4839-945e-e2fe231bb40e,ba5a088a-1c1a-4669-a282-2a8b12f393a7,Root,TRUE,TRUE,no,C57BL/6J,male,TRUE,FALSE,no,TRUE,5-0,Injective,32,other conditions,no,TRUE,sodium pentobarbital (60 mg/kg),"All mice were kept at the Laboratory Animal Center of Southwest Medical University under the same tem- perature and humidity, with food and water available",uncoated,Yong Jiang,bifurcation of anterior  and middle  cerebral artery,6-8 weeks,TRUE,,Ro5-4864,,18-22g,TRUE,jiangyong@swmu.edu.cn ,,FALSE,8,,TRUE,TRUE,TRUE,,TRUE,right ECA,mortality SAH,mortality SAH,,SAH,SAH,32,mortality,Mean,Mortality rate (%),TRUE,%,SD,mortality,SAH,SAH,none,none
f526e2e8-f447-497e-91ed-9612ef7806ae,11660f81-c343-4396-a097-74ca3430d6fa,,2020,03f434d1-b937-4817-aca7-867f193f5ab9,f42a856c-a027-482e-b15e-d2de6b1aff7b,,model control,e9bf973c-41fe-4214-b4b6-2fc0d981c8ef,intervention,9b51bb95-7303-43f3-b201-ce89f3ae3a92,8,039fd83c-ea58-436d-a4da-e1ebe9ebc327,mean,TRUE,0,0,sd,1,1d362025-1467-4810-8d69-52df43b69821,2021-10-22 09:15:38,FALSE,%,055a1199-6575-4b41-90f6-d189d5b21147,ba5a088a-1c1a-4669-a282-2a8b12f393a7,Root,TRUE,TRUE,no,C57BL/6J,male,TRUE,FALSE,no,TRUE,5-0,Injective,32,other conditions,no,TRUE,sodium pentobarbital (60 mg/kg),"All mice were kept at the Laboratory Animal Center of Southwest Medical University under the same tem- perature and humidity, with food and water available",uncoated,Yong Jiang,bifurcation of anterior  and middle  cerebral artery,6-8 weeks,TRUE,,Ro5-4864,,18-22g,TRUE,jiangyong@swmu.edu.cn ,,FALSE,8,,TRUE,TRUE,TRUE,,TRUE,right ECA,SHAM,SHAM,,SHAM,SHAM,8,mortality,Mean,Mortality rate (%),TRUE,%,SD,mortality,SHAM,SHAM,none,none
f526e2e8-f447-497e-91ed-9612ef7806ae,11660f81-c343-4396-a097-74ca3430d6fa,,2020,512ef8a5-7fca-472e-9b05-6781f861d324,0cb62b41-b140-405d-88d7-b21f0f520a98,,model,e9e336d9-b8c8-48b7-9847-30052b588960,intervention control,b53df1fe-0a3f-4797-9603-7837571b20aa,32,cdb5cfbf-b44d-4499-a652-717540aea6fe,mean,TRUE,15.63,0,sd,72,4c1843fd-ea20-4674-a0bc-8d11c2c03bdf,2021-10-05 12:47:01,FALSE,%,3c401d03-4982-43cd-943c-a8a55f9648fc,ba5a088a-1c1a-4669-a282-2a8b12f393a7,Root,TRUE,TRUE,not reported,C57BL/6J,m,TRUE,FALSE,not reported,TRUE,5-0,Injective,32,single cage,no,TRUE,sodium pentobarbital (60 mg/kg).,,other,Yong Jiang,bifurcation of anterior and middle cerebral artery,6-8 weeks,TRUE,,DMSO and Ro5-4864,5–0 prolene filament,18-22 g,TRUE,jiangyong@swmu.edu.cn,,TRUE,8,,TRUE,TRUE,TRUE,30 min,TRUE,external carotid artery,2,2,,2,2,32,Mortality rate,Mean,Mortality rate (%),TRUE,%,SD,Mortality rate,SAH,SAH,SAH,SAH
f526e2e8-f447-497e-91ed-9612ef7806ae,11660f81-c343-4396-a097-74ca3430d6fa,,2020,3e712338-cee9-4262-a8d3-7f0d52845cec,e61dd933-cf0b-4566-957b-49bfd9213292,,model,e9e336d9-b8c8-48b7-9847-30052b588960,intervention,e5988dfc-fe1d-400a-a2e1-1cdcefbbc0a3,8,cdb5cfbf-b44d-4499-a652-717540aea6fe,mean,TRUE,0,0,sd,0,4c1843fd-ea20-4674-a0bc-8d11c2c03bdf,2021-10-05 12:47:01,FALSE,%,89d53444-25c9-4306-907f-9babffdeac67,ba5a088a-1c1a-4669-a282-2a8b12f393a7,Root,TRUE,TRUE,not reported,C57BL/6J,m,TRUE,FALSE,not reported,TRUE,5-0,Injective,32,single cage,no,TRUE,sodium pentobarbital (60 mg/kg).,,other,Yong Jiang,bifurcation of anterior and middle cerebral artery,6-8 weeks,TRUE,,DMSO and Ro5-4864,5–0 prolene filament,18-22 g,TRUE,jiangyong@swmu.edu.cn,,TRUE,8,,TRUE,TRUE,TRUE,30 min,TRUE,external carotid artery,1,1,,1,1,8,Mortality rate,Mean,Mortality rate (%),TRUE,%,SD,Mortality rate,SAH,SAH,Sham,Sham
